                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.52671,                0.67908,                0.33357,                0.88803,                0.95242,                0.87257,                0.94291,                0.74409,                0.95242,                0.87257,                0.94291,                0.63831,                0.83909,                 1.1073,                0.46211,                 1.1239,              0.0011461,              0.0011461,              0.0011461
                     63,                0.51799,                0.68274,                   0.32,                0.88476,                0.94265,                0.88332,                0.94183,                0.73781,                0.94265,                0.88332,                0.93609,                0.62477,                0.81825,                 1.0459,                0.46797,                 1.0952,              0.0011413,              0.0011413,              0.0011413
                     64,                0.54796,                0.73027,                0.33402,                 0.8888,                0.91947,                0.88897,                0.92654,                0.73061,                0.91947,                0.88897,                0.92654,                0.61424,                0.83641,                 1.0854,                0.50385,                 1.0998,              0.0011366,              0.0011366,              0.0011366
                     65,                0.53514,                0.69248,                0.32722,                0.88232,                0.92815,                0.89012,                0.93653,                  0.735,                0.92815,                0.89012,                0.93653,                0.61354,                0.84033,                 1.0533,                0.50905,                    1.1,              0.0011319,              0.0011319,              0.0011319
                     66,                0.52452,                 0.6505,                0.32439,                0.89281,                0.95653,                 0.9121,                0.95607,                0.75501,                0.95919,                0.91459,                0.95893,                0.64054,                  0.825,                 1.0444,                0.42028,                 1.0794,              0.0011272,              0.0011272,              0.0011272
                     67,                0.51724,                0.67164,                0.32587,                0.87999,                0.95171,                0.88938,                0.94406,                0.74299,                0.95171,                0.88938,                0.94406,                0.61853,                0.83194,                 1.0807,                0.46311,                 1.1024,              0.0011225,              0.0011225,              0.0011225
                     68,                0.50791,                0.67463,                 0.3186,                0.88972,                0.91005,                0.90204,                0.94064,                0.74326,                0.91301,                0.90326,                0.94044,                0.62947,                0.81565,                 1.0877,                 0.4829,                 1.1055,              0.0011178,              0.0011178,              0.0011178
                     69,                0.51934,                0.66499,                0.31696,                0.88284,                0.95724,                0.89028,                 0.9363,                0.73356,                0.95724,                0.89028,                 0.9363,                0.61032,                0.83127,                 1.1038,                0.47601,                 1.0996,               0.001113,               0.001113,               0.001113
                     70,                0.51281,                 0.6556,                0.31819,                 0.8942,                0.92379,                0.89781,                0.95656,                0.74439,                0.92379,                0.89781,                0.95278,                0.61988,                0.83817,                 1.0816,                0.42502,                 1.1135,              0.0011083,              0.0011083,              0.0011083
                     71,                0.50677,                0.66231,                0.32865,                0.88902,                0.94164,                0.89193,                0.95219,                0.75256,                0.93905,                0.88944,                0.95319,                0.62313,                0.82726,                 1.1376,                0.44176,                 1.1039,              0.0011036,              0.0011036,              0.0011036
